epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2013.83,0.5408,0.68309,1.16976,0.83854,0.76748,0.91546,0.71245,0.91092,0.93562,2.12754,0.007228,0.007228,0.007228
58,2049.02,0.53498,0.68015,1.16787,0.93811,0.94117,0.97739,0.86971,0.50977,0.53034,1.26405,0.0071785,0.0071785,0.0071785
59,2084.3,0.5436,0.67251,1.17625,0.91108,0.92787,0.96939,0.7572,0.87613,0.76033,2.10943,0.007129,0.007129,0.007129
60,2119.64,0.53228,0.67251,1.16439,0.92358,0.90479,0.96258,0.83598,0.56326,0.60353,1.33233,0.0070795,0.0070795,0.0070795
61,2154.85,0.53636,0.65595,1.17376,0.93383,0.95312,0.97747,0.87067,0.51383,0.4512,1.25218,0.00703,0.00703,0.00703
62,2190.09,0.5331,0.64514,1.16876,0.95965,0.94306,0.98084,0.87747,0.51404,0.44522,1.25429,0.0069805,0.0069805,0.0069805
63,2225.39,0.52569,0.64874,1.15934,0.88602,0.90038,0.95974,0.84547,0.53066,0.59249,1.29614,0.006931,0.006931,0.006931
64,2260.6,0.52316,0.64596,1.16751,0.95027,0.94456,0.97812,0.86407,0.51398,0.44222,1.26084,0.0068815,0.0068815,0.0068815
65,2295.78,0.51879,0.64478,1.14986,0.93287,0.95,0.98021,0.85912,0.53513,0.44891,1.28082,0.006832,0.006832,0.006832
66,2330.92,0.52413,0.64181,1.16457,0.87811,0.91667,0.95967,0.84547,0.55797,0.55654,1.30802,0.0067825,0.0067825,0.0067825
67,2366.26,0.52717,0.63347,1.16466,0.92626,0.90823,0.96107,0.84945,0.53472,0.53053,1.29184,0.006733,0.006733,0.006733
68,2401.39,0.52424,0.63143,1.16178,0.92607,0.92957,0.97418,0.85159,0.57437,0.52189,1.36225,0.0066835,0.0066835,0.0066835
69,2436.59,0.51653,0.62957,1.16175,0.90839,0.95382,0.97958,0.86908,0.5298,0.55424,1.29151,0.006634,0.006634,0.006634
70,2471.86,0.52014,0.61104,1.15046,0.97089,0.94697,0.98203,0.87691,0.50305,0.41024,1.24434,0.0065845,0.0065845,0.0065845
71,2507.18,0.5133,0.59863,1.14853,0.94869,0.93733,0.9782,0.86269,0.55015,0.44566,1.29529,0.006535,0.006535,0.006535
72,2542.33,0.51893,0.61816,1.15965,0.90932,0.90208,0.96389,0.82568,0.64365,0.53017,1.49424,0.0064855,0.0064855,0.0064855
